  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    4.32    1.75    0.88    0.17   -0.17   -0.06  -0.70073314   0.64678100   0.44162600         8203
    5.38    1.63   -1.44   -1.07    0.48    0.92   0.82366488   0.46065500   0.06318300         8229
    2.36    1.54   -1.02   -0.13    0.25   -0.10   0.83908403   0.46168200   0.05860200         8230
    3.74    2.69   -1.32    0.40    0.03    0.07   0.14635905   0.66919300   0.35322400         8284
    3.70    3.40   -1.26   -0.37    0.27   -0.13   0.54363621   0.63483400   0.22969600         8307
    4.84    2.14    0.63   -0.27    0.24   -0.54   0.70516539   0.44074900   0.08935900         8311
    2.30    1.35   -0.92    1.02    1.00   -0.34   0.93505715   0.21226900   0.00557600         8353
    5.06    1.48   -0.24   -0.52    0.61    0.11   0.97282923   0.25291300   0.00335600         8389
    0.90    3.39   -1.59   -0.18   -0.23   -0.14  -0.51901918   0.67102800   0.44695800         8461
    4.33    3.48    0.78   -0.64    0.44   -0.69   0.34168852   0.68315900   0.31979600         8470
    6.72    2.39   -0.46   -1.04    2.05   -0.73   0.72683421   0.67463000   0.17881100         8488
    6.38    3.75   -0.59    0.79    0.00   -0.51   0.20549010   0.67180400   0.34321800         8492
    0.93    1.81    0.82    0.06    0.44   -0.04  -0.00484624   0.65179100   0.36613100         8504
    2.43    1.59   -0.17   -0.57    1.21   -0.18   0.74513888   0.66211700   0.16437100         8555
    1.49    3.29   -0.51   -0.26    1.53    0.27  -0.85504643   0.06686700   0.01306100         8573
    2.51    1.30   -0.28    0.14    3.12    1.81   0.85141531   0.66187300   0.10682200         8591
    2.26    3.72    1.15   -0.67    0.25   -0.13   0.46123100   0.67168100   0.27846700         8592
    5.78    1.84   -0.71   -0.20    0.51   -0.33   0.75970952   0.66535700   0.15856300         8639
    7.35    1.56    0.06   -0.75    0.00    0.40  -0.17925908   0.66196700   0.40007700         8644
    3.45    1.80   -1.08    0.06   -0.11   -0.02  -0.83307458   0.66674000   0.47016300         8690
    6.74    2.04    1.43   -0.45    0.41   -1.06   0.19742027   0.66413800   0.33907400         8702
    5.76    2.47    1.07    0.22    0.56   -1.56   0.24391210   0.64144700   0.31234800         8704
    6.21    2.10    0.53   -0.28    0.07    0.22   0.04251315   0.66468200   0.36866900         8713
    3.72    1.66   -1.16   -1.21    1.13    0.04   0.76404774   0.55991500   0.11502200         8721
    2.71    2.19    0.69   -0.48    2.22    0.77  -0.40122509   0.13706100   0.03744100         8732
    4.89    3.48   -1.66   -0.11   -0.07    0.13  -0.56789593   0.64439500   0.42795100         8744
    2.82    1.99    0.84    0.24    0.47    0.45   0.97582659   0.65396000   0.01962400         8764
    3.56    2.69    1.30    0.02   -0.22   -0.18  -0.84336801   0.63112800   0.43851800         8769
    3.88    2.99   -0.42    1.14    0.06   -0.47  -0.02068396   0.63534300   0.35533900         8776
    1.02    1.47   -0.89    0.24    1.35    0.76   0.91868222   0.55752800   0.04543400         8792
    7.25    3.14    1.25   -1.70    0.70   -0.50   0.10287395   0.66003500   0.35429000         8802
