  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    2.17    3.44   -1.11    0.44   -0.13   -0.22   0.64789387   0.31554200   0.05635400        15436
    1.95    1.32    1.59    0.83    0.25   -0.47  -0.88882351   0.63203400   0.44258700        15647
    4.78    1.85   -0.02    0.17    0.52    0.32   0.84960972   0.65596800   0.10614600        15847
    3.89    1.56   -1.25    0.95   -0.07    0.67  -0.09048477   0.66675900   0.39156600        15975
    5.25    2.88   -1.13    0.30    1.10    2.26  -0.60997620   0.40608900   0.22793600        15996
    2.34    3.26   -0.69    0.57   -0.03    0.24  -0.07451656   0.67613600   0.39694400        16033
    5.29    2.78    0.45    0.25    0.43   -0.51   0.66618525   0.67249200   0.20526000        16072
    2.40    3.93    1.21   -0.05    0.09   -0.01   0.86846821   0.67753900   0.10061500        16109
    5.10    3.16    0.87    0.09   -0.27    0.39   0.70276513   0.33580200   0.05487300        16126
    5.42    1.66    0.88   -0.07    0.88   -0.52   0.10887611   0.26352200   0.08297200        16270
    4.92    1.69   -0.65   -0.08    0.77   -0.67  -0.31740035   0.33445500   0.15485800        16805
    6.39    2.37   -0.13    0.03   -0.01    0.07  -0.08303380   0.67600700   0.39813000        16922
    3.72    4.18    1.57   -0.27   -0.39   -0.21  -0.85971055   0.67051000   0.47560700        16966
    2.31    3.60    0.81   -0.24    0.56   -1.51   0.28105566   0.65525900   0.31431700        17057
    5.69    1.66    0.06    0.77   -0.16    1.30   0.46579905   0.31562500   0.07830500        17108
    3.22    2.04   -1.06    0.10    0.24   -0.09  -0.94521199   0.45056900   0.28462400        17127
    2.80    4.16    0.01   -0.12   -0.51    0.67  -0.78565636   0.55556800   0.36668900        17138
    0.59    2.05   -0.01    0.06    0.52    0.28   0.84449329   0.69139500   0.12018500        17179
    6.61    2.15   -1.55   -0.01   -0.01    0.01  -0.59130708   0.29929600   0.14438400        17195
    4.34    3.28    0.48   -0.66    0.68    0.09   0.48535591   0.31766500   0.07699700        17252
    7.11    2.53   -0.85   -0.26    0.62   -0.33   0.67391060   0.65278000   0.19196100        17285
    5.08    1.56    0.15   -0.07    0.69   -0.02   0.97507705   0.65513100   0.02028500        17379
    6.72    2.08   -0.51   -0.12    2.10   -1.08   0.78061567   0.42499800   0.06558000        17613
    3.00    4.75   -1.68    0.90    0.05    0.01   0.02976009   0.65389100   0.36217700        17623
    4.63    2.41   -0.38    0.63   -0.77    0.10  -0.82118881   0.66617100   0.46874100        17634
    0.39    3.24   -0.30    0.36    1.52   -0.56   0.52341804   0.40427600   0.11069400        17792
    2.08    3.64    0.06   -0.07    0.62   -0.10   0.94195133   0.63801000   0.04311600        17815
    2.61    1.52    0.18    0.35    1.20    0.99   0.32875326   0.44993900   0.16714300        17856
    4.05    3.36    1.02   -0.20   -0.11    0.04   0.54848227   0.22439200   0.03712900        17883
    7.93    2.56   -1.07   -1.24    0.61   -0.44   0.35711326   0.56473300   0.23457400        17909
    4.94    2.38   -1.41   -4.83   -1.04    0.95   0.54254591   0.25310700   0.04675600        17989
    3.92    3.77    0.94   -0.23    1.08   -0.38   0.85410332   0.44713000   0.05061900        18035
    6.61    3.91   -0.95   -0.65    0.43    0.07  -0.82731397   0.60050300   0.40970800        18039
    7.26    2.25   -1.09   -0.27   -0.59    1.06  -0.54824714   0.69932600   0.47510000        18140
