  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle          E0        Edpst   history_number
    2.84    1.95   -1.00   -0.28    0.46   -0.13   0.86542217   0.66100001   0.09800700         2677
    0.85    1.30   -0.38   -0.33    0.03    0.03  -0.15493243   0.66100001   0.39595900         2693
    5.19    3.22   -0.69    0.00    0.38   -0.01   0.74906611   0.66100001   0.16197900         2707
    1.85    1.37    1.04    1.67    3.49   -0.08   0.85585729   0.66100001   0.10387800         2713
    3.06    1.70    0.55   -1.53    1.05   -0.17   0.59313148   0.66100001   0.22792700         2793
    1.97    1.60    0.52    2.01    1.03    0.35   0.32375056   0.66100001   0.30842100         2799
    3.49    1.55   -0.13    1.81    1.03    0.24   0.42726472   0.66100001   0.28130200         2846
    6.87    4.98    0.03    0.52    0.38    0.19   0.71687137   0.66100001   0.17719000         2870
    2.46    1.34    0.91    1.73    3.05   -0.76   0.76489721   0.66100001   0.15414300         2876
    2.14    1.34    0.66   -0.95    0.35    1.02   0.32333938   0.66100001   0.30852100         2877
    6.61    1.72    1.59    0.69    3.29   -0.12   0.98613153   0.66100001   0.01164900         2917
    0.87    2.19   -1.21   -0.47    1.55    2.19   0.47593574   0.66100001   0.26705500         2930
    3.39    4.67    1.27   -0.40    0.90   -0.06   0.90182611   0.66100001   0.07448300         2935
    1.88    1.77    0.32   -0.39   -0.41   -0.22  -0.50455900   0.66100001   0.43664400         2955
    3.63    1.33    0.80   -1.84   -0.02   -0.18   0.01028492   0.66100001   0.37111800         2989
    3.44    4.60   -0.84   -0.11    0.24    0.00   0.91791541   0.66100001   0.06344800         3004
    2.27    1.45    0.20   -0.06    0.38    0.02   0.99221149   0.66100001   0.00659300         3079
    6.32    4.42   -0.15   -0.27    0.77    1.46   0.42101182   0.66100001   0.28305800         3084
    3.63    2.36    1.46    0.12    1.40   -0.45   0.90443860   0.66100001   0.07271900         3093
    2.60    4.10    1.20    0.39   -0.27    0.17  -0.61361938   0.66100001   0.44689600         3114
    5.07    2.51   -1.39    0.83    1.20    0.07   0.87271308   0.66100001   0.09344800         3191
    7.81    1.75    1.21    0.04   -0.07   -0.04  -0.91896697   0.66100001   0.47118100         3229
    6.03    1.60    1.05    1.00    0.06   -0.09   0.21892071   0.66100001   0.33220300         3254
    3.57    4.69   -0.13   -0.03    0.60   -0.16   0.96950459   0.66100001   0.02508500         3290
    4.41    2.90   -0.86    0.33   -0.43   -0.45  -0.40665607   0.66100001   0.42656700         3291
    4.17    1.69   -1.17    0.28    0.59    0.01   0.91568712   0.66100001   0.06500100         3323
    4.23    3.52    0.88   -0.09    0.98    0.57   0.88564717   0.66100001   0.08517600         3370
    1.57    1.97   -1.52   -0.63    1.08    0.12   0.92218159   0.66100001   0.06045200         3411
    1.78    5.15    0.11    0.51   -0.56   -0.09   0.72896957   0.66100001   0.17158400         3416
    7.55    1.95    0.43   -0.29   -0.26    0.70  -0.29309465   0.66100001   0.41368200         3432
    0.79    2.85    0.01    0.60    1.78    1.16   0.72289489   0.66100001   0.17441500         3439
    0.61    3.05    0.05   -0.32    0.68   -0.15   0.95615862   0.66100001   0.03547400         3440
    2.08    2.95    0.91    3.28    0.74   -0.22   0.18901217   0.66100001   0.33841100         3464
    5.28    2.16    0.01    0.03   -0.03   -0.03  -0.35614872   0.66100001   0.42100600         3490
    3.51    4.21    0.66   -0.15    0.47   -0.49   0.63011428   0.66100001   0.21391400         3495
    2.21    3.39    0.53   -0.72    1.94    1.02   0.89203359   0.66100001   0.08100200         3555
    2.40    1.48   -0.06   -1.25    0.59   -0.23   0.53104645   0.66100001   0.24957500         3572
    4.60    4.61   -1.10   -0.43    0.89    0.45   0.74673175   0.66100001   0.16311400         3590
    0.62    3.00   -0.19    0.48    0.02   -1.34  -0.05601162   0.66100001   0.38162500         3622
    5.86    1.55   -0.33    0.04    0.44   -0.10  -0.70799307   0.66100001   0.45504000         3624
    6.51    2.56   -0.33   -0.42    0.30   -0.09   0.46335875   0.66100001   0.27083800         3668
    3.94    1.76    1.44   -1.39    1.63   -0.57   0.68220938   0.66100001   0.19256300         3688
    0.43    4.16   -0.47    1.34   -0.50   -1.23  -0.25661548   0.66100001   0.40923700         3727
    0.41    4.52    0.07    0.17   -0.33    0.35  -0.68251441   0.66100001   0.45290300         3863
    5.83    2.21   -1.66   -1.14    1.32    1.31   0.37652233   0.66100001   0.29509800         3883
    1.55    1.43   -0.19    1.05    2.09    0.71   0.75280556   0.66100001   0.16015000         3890
    4.64    3.95    1.68   -0.02   -0.11   -0.24  -0.37846247   0.66100001   0.42349500         3903
    6.30    2.44    0.81    1.67    0.95   -0.73   0.64216234   0.66100001   0.20915100         3951
    3.14    1.83    1.28    0.95   -0.03   -0.66  -0.17484959   0.66100001   0.39866900         3997
    0.93    3.05    1.28   -0.23   -0.37    0.11  -0.91463422   0.66100001   0.47087500         4082
    7.72    1.88    0.80   -0.52    0.06    0.32  -0.15418346   0.66100001   0.39585600         4106
    6.26    2.46    1.45    0.21    0.29    0.03   0.82398732   0.66100001   0.12258600         4108
    7.64    2.09   -0.65    0.26    0.11    0.08   0.60746893   0.66100001   0.22260000         4127
    5.14    2.24    0.53    0.51    0.99    0.53   0.87145490   0.66100001   0.09424000         4160
    3.60    2.27    1.39    0.42   -0.17   -0.05  -0.42873679   0.66100001   0.42891800         4189
    2.78    2.61    0.19   -0.11   -0.07   -0.05  -0.39976958   0.66100001   0.42582400         4256
    5.72    1.82   -0.87   -0.50    0.51    0.88   0.22536952   0.66100001   0.33083300         4265
    4.29    2.93   -0.30    1.66    0.00    0.58   0.06027175   0.66100001   0.36265800         4266
    5.71    1.72   -0.01    0.31    0.50   -1.11   0.43187434   0.66100001   0.27999700         4270
    2.31    1.89   -1.12   -0.20    2.99    0.49   0.97095389   0.66100001   0.02393600         4274
    3.91    1.70   -1.28    1.88    0.02    0.47  -0.02753069   0.66100001   0.37720600         4286
    1.33    2.50    0.11    0.57   -0.05    0.07  -0.63310669   0.66100001   0.44863000         4349
    5.70    2.70    0.89   -0.15    1.10    0.58   0.88590909   0.66100001   0.08500600         4372
    7.48    3.93    0.64    0.08   -0.15    0.32  -0.57149249   0.66100001   0.44304900         4382
    6.02    3.25    0.70    0.88    0.60   -0.69   0.52860546   0.66100001   0.25038200         4433
    1.35    3.53   -0.43    1.28    0.50    0.20   0.13548682   0.66100001   0.34895500         4452
    1.93    3.02   -0.88    0.31    2.13   -0.36   0.95868824   0.66100001   0.03353100         4454
    0.13    2.33   -0.38   -0.05    0.36   -1.21   0.31094060   0.66100001   0.31151000         4498
    4.06    1.95    0.83    0.02   -0.30    0.31  -0.69497937   0.66100001   0.45395400         4539
